Governorate,Families,deaths,Anbar_distKm,Babylon_distKm,Baghdad_distKm,Basrah_distKm,Dahuk_distKm,Diyala_distKm,Erbil_distKm,Kerbala_distKm,Kirkuk_distKm,Missan_distKm,Muthanna_distKm,Najaf_distKm,Ninewa_distKm,Qadissiya_distKm,Salahal Din_distKm,Sulaymaniyah_distKm,Thi Qar_distKm,Wassit_distKm,Pop,Temp,Precip
Anbar,59323,184,0,206.0,114.0,627,480.0,178.0,385.0,170.0,293,505,379,270.0,399.0,274.0,174,412,469,328,1485900,52.97,0.0
Babylon,7909,5,216,0.0,120.0,460,596.0,193.0,501.0,44.1,409,337,212,64.4,514.0,106.0,290,495,302,161,1999000,50.6,0.0
Baghdad,68806,52,123,121.0,0.0,542,481.0,68.9,360.0,104.0,265,353,294,185.0,400.0,188.0,175,370,384,177,7877900,53.61,0.0
Basrah,1720,1,639,463.0,542.0,0,1018.0,616.0,923.0,502.0,831,243,301,449.0,937.0,377.0,712,917,253,378,2818800,60.5,0.0
Dahuk,65903,1,483,601.0,485.0,1022,0.0,441.0,148.0,585.0,240,836,774,665.0,76.4,669.0,301,326,864,660,1252300,43.87,0.0
Diyala,13286,10,187,193.0,68.3,614,446.0,0.0,314.0,176.0,219,396,366,257.0,386.0,261.0,161,324,456,219,1584900,54.18,0.0
Erbil,59558,0,380,486.0,362.0,907,159.0,317.0,0.0,470.0,103,706,659,550.0,89.0,554.0,215,179,749,529,1797700,48.99,0.0
Kerbala,11040,0,151,46.1,123.0,504,598.0,196.0,504.0,0.0,412,382,256,80.3,517.0,151.0,292,497,347,206,1180500,53.66,0.0
Kirkuk,60447,25,286,389.0,264.0,810,245.0,219.0,106.0,372.0,0,608,562,453.0,167.0,457.0,121,125,652,432,1548200,51.05,0.0
Missan,890,1,463,327.0,341.0,268,821.0,377.0,692.0,367.0,597,0,420,367.0,740.0,315.0,515,577,291,168,1078100,57.7,0.0
Muthanna,797,0,380,204.0,283.0,302,759.0,357.0,664.0,243.0,572,315,0,155.0,678.0,118.0,453,658,109,244,788300,57.28,0.0
Najaf,13107,0,279,61.8,182.0,445,658.0,256.0,563.0,80.4,471,381,142,0.0,577.0,77.3,352,557,253,205,1425700,57.69,0.0
Ninewa,62098,251,407,525.0,409.0,946,81.4,369.0,88.9,509.0,167,761,698,589.0,0.0,593.0,225,296,789,584,3612300,48.91,0.0
Qadissiya,4001,0,278,102.0,182.0,368,657.0,255.0,563.0,142.0,471,319,120,82.0,576.0,0.0,352,556,211,142,1250200,54.27,0.0
Salahal Din,50905,26,184,302.0,185.0,723,305.0,174.0,217.0,285.0,125,537,475,366.0,224.0,369.0,0,244,565,361,1544100,54.82,0.03
Sulaymaniyah,25347,0,398,496.0,371.0,917,304.0,269.0,201.0,479.0,126,603,669,560.0,288.0,564.0,232,0,612,428,1990300,45.09,0.0
Thi Qar,1366,0,448,272.0,351.0,206,827.0,425.0,732.0,311.0,640,206,107,258.0,746.0,186.0,521,726,0,183,2029300,57.53,0.0
Wassit,4188,0,298,162.0,177.0,376,656.0,212.0,527.0,202.0,432,179,255,203.0,575.0,150.0,350,417,185,0,1335200,55.73,0.0
